"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"cloud-drive-ui","1","558","312627200","44638208","40935424","38200","C:\Users\david\AppData\Local\SynologyDrive\SynologyDrive.app\bin\cloud-drive-ui.exe","""C:\Users\david\AppData\Local\SynologyDrive\SynologyDrive.app\bin\cloud-drive-ui.exe"" ",,"","370,3125","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4360","8",,"False","18/09/2026 08:42:32",,"3544",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","38200","38200","40935424","40935424","538672","538672","56315904","56315904","83464192","83464192","347795456","347795456","True","Normal","40935424","40935424","4095","1",,"System.Diagnostics.ProcessThreadCollection","558","312627200","312627200","False",,,,"44638208","44638208",,"System.Diagnostics.ProcessModule (cloud-drive-ui.exe)","00:03:29.5000000","00:06:10.3125000","00:02:40.8125000","cloud-drive-ui","0","","True",,
"Code","1","234","2255259770880","35155968","10018816","11344","C:\Program Files\Microsoft VS Code\Code.exe","""C:\Program Files\Microsoft VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=C:\Users\david\AppData\Roaming\Code /prefetch:4 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\david\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=35f142c0-97f8-4d73-838c-8f6441791bf2&iid=35f142c0-97f8-4d73-838c-8f6441791bf2&sid=35f142c0-97f8-4d73-838c-8f6441791bf2 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.130.0 --annotation=plat=Win64 --annotation=prod=Electron --annotation=ver=42.6.0 --initial-client-data=0x4b4,0x4b8,0x4bc,0x4b0,0x4c0,0x7ff766cdb1d8,0x7ff766cdb1e8,0x7ff766cdb1f8","System.Diagnostics.Process (Code)","Microsoft Corporation","0,109375","1.130.0","1.130.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3100","8",,"False","23/09/2026 09:50:55",,"3256",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11344","11344","10018816","10018816","614952","614952","10113024","10113024","39772160","39772160","2255284936704","427106304","True","Normal","10018816","10018816","4095","1",,"System.Diagnostics.ProcessThreadCollection","234","2255259770880","401940480","False",,,,"35155968","35155968",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0937500","00:00:00.1093750","00:00:00.0156250","Code","0","","True",,
"Code","1","574","3776422973440","361127936","435970048","60176","C:\Program Files\Microsoft VS Code\Code.exe","""C:\Program Files\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\david\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1748,i,5393130702145439478,14071236212283057135,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1752,i,3288771410498485161,1324435056135246940,4 --trace-process-track-uuid=3190708997556373682 --mojo-platform-channel-handle=5448 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","500,203125","1.130.0","1.130.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6092","8",,"False","23/09/2026 11:42:54",,"6904",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","60176","60176","435970048","435970048","880920","880920","633380864","633380864","558080000","558080000","3780470476800","899256320","True","Normal","435970048","435970048","4095","1",,"System.Diagnostics.ProcessThreadCollection","574","3776422973440","1146720256","False",,,,"361127936","361127936",,"System.Diagnostics.ProcessModule (Code.exe)","00:03:52.6875000","00:08:20.2031250","00:04:27.5156250","Code","0","","True",,
"Code","1","477","3777240621056","398168064","449404928","57416","C:\Program Files\Microsoft VS Code\Code.exe","""C:\Program Files\Microsoft VS Code\Code.exe"" --type=renderer --user-data-dir=""C:\Users\david\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Program Files\Microsoft VS Code\1b6a188127\resources\app"" --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1789713426958708 --launch-time-ticks=436429348205 --field-trial-handle=1748,i,5393130702145439478,14071236212283057135,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1752,i,3288771410498485161,1324435056135246940,4 --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=3240 --vscode-window-config=vscode:f0a01544-af72-439b-9d86-7450e1628d1d /prefetch:1","System.Diagnostics.Process (Code)","Microsoft Corporation","1251,34375","1.130.0","1.130.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3764","8",,"False","23/09/2026 09:50:56",,"9916",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","57416","57416","449404928","449404928","738208","738208","1012346880","1012346880","926130176","926130176","3779245989888","-325230592","True","Normal","449404928","449404928","4095","1",,"System.Diagnostics.ProcessThreadCollection","477","3777240621056","1964367872","False",,,,"398168064","398168064",,"System.Diagnostics.ProcessModule (Code.exe)","00:02:07.8750000","00:20:51.3437500","00:18:43.4687500","Code","0","","True",,
"Code","1","330","3773155020800","114958336","137809920","31184","C:\Program Files\Microsoft VS Code\Code.exe","""C:\Program Files\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\david\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1748,i,5393130702145439478,14071236212283057135,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1752,i,3288771410498485161,1324435056135246940,4 --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3808 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","26,4375","1.130.0","1.130.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4228","8",,"False","23/09/2026 09:50:58",,"16628",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31184","31184","137809920","137809920","671712","671712","290193408","290193408","312492032","312492032","3773236219904","-2040033280","True","Normal","137809920","137809920","4095","1",,"System.Diagnostics.ProcessThreadCollection","330","3773155020800","-2121232384","False",,,,"114958336","114958336",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:09.7187500","00:00:26.4375000","00:00:16.7187500","Code","0","","True",,
"Code","1","261","3771035058176","259391488","226766848","22624","C:\Program Files\Microsoft VS Code\Code.exe","""C:\Program Files\Microsoft VS Code\Code.exe"" c:\Users\david\.vscode\extensions\streetsidesoftware.code-spell-checker-4.9.3\packages\_server\dist\main.cjs --node-ipc --clientProcessId=6904","System.Diagnostics.Process (Code)","Microsoft Corporation","67,125","1.130.0","1.130.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4020","8",,"False","23/09/2026 11:43:00",,"18936",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22624","22624","226766848","226766848","646552","646552","356716544","356716544","382640128","382640128","3771426177024","444891136","True","Normal","226766848","226766848","4095","1",,"System.Diagnostics.ProcessThreadCollection","261","3771035058176","53772288","False",,,,"259391488","259391488",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:06.0468750","00:01:07.1250000","00:01:01.0781250","Code","0","","True",,
"Code","1","1701","3774153146368","168472576","165052416","79592","C:\Program Files\Microsoft VS Code\Code.exe","""C:\Program Files\Microsoft VS Code\Code.exe"" ","System.Diagnostics.Process (explorer)","Microsoft Corporation","208,953125","1.130.0","1.130.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3552","8",,"False","23/09/2026 09:50:55",,"22228",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","79592","79592","165052416","165052416","1262512","1262512","207405056","207405056","230440960","230440960","3774382370816","-893882368","True","Normal","165052416","165052416","4095","1",,"System.Diagnostics.ProcessThreadCollection","1701","3774153146368","-1123106816","False",,,,"168472576","168472576",,"System.Diagnostics.ProcessModule (Code.exe)","00:02:01.0625000","00:03:28.9531250","00:01:27.8906250","Code","8390784","● Untitled-1 - Powershell09-26 (Workspace) - Visual Studio Code","True",,
"Code","1","354","3777227350016","112918528","114950144","42528","C:\Program Files\Microsoft VS Code\Code.exe","""C:\Program Files\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --video-capture-use-gpu-memory-buffer --user-data-dir=""C:\Users\david\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=1748,i,5393130702145439478,14071236212283057135,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1752,i,3288771410498485161,1324435056135246940,4 --trace-process-track-uuid=3190708993808206286 --mojo-platform-channel-handle=4024 /prefetch:14","System.Diagnostics.Process (Code)","Microsoft Corporation","36,9375","1.130.0","1.130.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5376","8",,"False","23/09/2026 09:50:58",,"30996",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","42528","42528","114950144","114950144","686392","686392","122052608","122052608","145367040","145367040","3777236770816","1960517632","True","Normal","114950144","114950144","4095","1",,"System.Diagnostics.ProcessThreadCollection","354","3777227350016","1951096832","False",,,,"112918528","112918528",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:20.4531250","00:00:36.9375000","00:00:16.4843750","Code","0","","True",,
"Code","1","327","3772258181120","115445760","201646080","31456","C:\Program Files\Microsoft VS Code\Code.exe","""C:\Program Files\Microsoft VS Code\Code.exe"" ""c:\Program Files\Microsoft VS Code\1b6a188127\resources\app\node_modules.asar.unpacked\@github\copilot-win32-x64\index.js"" --headless --no-auto-update --log-level info --stdio --no-auto-login","System.Diagnostics.Process (Code)","Microsoft Corporation","3,265625","1.130.0","1.130.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4388","8",,"False","23/09/2026 09:51:03",,"32292",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31456","31456","201646080","201646080","811584","811584","223399936","223399936","237301760","237301760","3772342067200","1360781312","True","Normal","201646080","201646080","4095","1",,"System.Diagnostics.ProcessThreadCollection","327","3772258181120","1276895232","False",,,,"115445760","115445760",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.5625000","00:00:03.2656250","00:00:02.7031250","Code","0","","True",,
"Code","1","687","2255844425728","159825920","126988288","26360","C:\Program Files\Microsoft VS Code\Code.exe","""C:\Program Files\Microsoft VS Code\Code.exe"" --type=gpu-process --user-data-dir=""C:\Users\david\AppData\Roaming\Code"" --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=1748,i,5393130702145439478,14071236212283057135,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1752,i,3288771410498485161,1324435056135246940,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1740 /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","227,515625","1.130.0","1.130.0","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5548","10",,"False","23/09/2026 09:50:55",,"34960",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26360","26360","126988288","126988288","1158824","1158824","222978048","222978048","252334080","252334080","2255895674880","1037844480","True","AboveNormal","126988288","126988288","4095","1",,"System.Diagnostics.ProcessThreadCollection","687","2255844425728","986595328","False",,,,"159825920","159825920",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:59.0468750","00:03:47.5156250","00:02:48.4687500","Code","0","","True",,
