"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"EOSOverlayRenderer-Win64-Shipping","1","256","73553293312","21655552","9338880","15784","C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayRenderer-Win64-Shipping.exe","""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayRenderer-Win64-Shipping.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --no-sandbox --use-angle=d3d11 --user-data-dir=""C:\Users\david\AppData\Local\Epic Games\EOSOverlay\BrowserCache\1"" --locales-dir-path=""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\Win64\Resources\locales"" --log-severity=warning --resources-dir-path=""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\Win64\Resources"" --user-agent-product=""CEF/128.4.13 Chrome/128.0.6613.138 EOSOverlay/1.3.7.1200 UnrealEngine/EOS-SDK/1.19.4210.0-57262110@Launcher (Windows/10.0.26100.9278.64bit) EGL/20.3.2-58288225+++UE5+Release-Distro-5.5"" --eos-dxgi-luid=80873 --field-trial-handle=2212,i,12379074273930963253,16985363551126987292,262144 --disable-features=SpareRendererForSitePerProcess --variations-seed-version --enable-logging=handle --log-file=2236 --mojo-platform-channel-handle=2228 /prefetch:13","System.Diagnostics.Process (EOSOverlayRenderer-Win64-Shipping)","","7,46875","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5576","8",,"False","21/09/2026 07:13:01",,"34744",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15784","15784","9338880","9338880","724528","724528","10235904","10235904","24616960","24616960","73601527808","587083776","True","Normal","9338880","9338880","4095","1",,"System.Diagnostics.ProcessThreadCollection","256","73553293312","538849280","False",,,,"21655552","21655552",,"System.Diagnostics.ProcessModule (EOSOverlayRenderer-Win64-Shipping.exe)","00:00:01.3437500","00:00:07.4687500","00:00:06.1250000","EOSOverlayRenderer-Win64-Shipping","0","","True",,
"EOSOverlayRenderer-Win64-Shipping","1","1059","73994264576","101609472","38641664","36480","C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayRenderer-Win64-Shipping.exe","""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayRenderer-Win64-Shipping.exe"" --eos-ver=1 --eos-pid=40056 --eos-shm=F4CeLLLjpL0KLStVFHUSVioVZXR2t8Zn --eos-dxgi-luid=80873 --eos-user-agent=""EOSOverlay/1.3.7.1200 UnrealEngine/EOS-SDK/1.19.4210.0-57262110@Launcher (Windows/10.0.26100.9278.64bit) EGL/20.3.2-58288225+++UE5+Release-Distro-5.5""","System.Diagnostics.Process (EpicGamesLauncher)","","2680,6875","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3924","8",,"False","21/09/2026 07:13:00",,"36020",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","36480","36480","38641664","38641664","972160","972160","52629504","52629504","121810944","121810944","74109108224","1094664192","True","Normal","38641664","38641664","4095","1",,"System.Diagnostics.ProcessThreadCollection","1059","73994264576","979820544","False",,,,"101609472","101609472",,"System.Diagnostics.ProcessModule (EOSOverlayRenderer-Win64-Shipping.exe)","00:23:02.0937500","00:44:40.6875000","00:21:38.5937500","EOSOverlayRenderer-Win64-Shipping","0","","True",,
"EOSOverlayRenderer-Win64-Shipping","1","470","73746321408","37584896","13406208","26120","C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayRenderer-Win64-Shipping.exe","""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayRenderer-Win64-Shipping.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-sandbox --use-angle=d3d11 --start-stack-profiler --user-data-dir=""C:\Users\david\AppData\Local\Epic Games\EOSOverlay\BrowserCache\1"" --locales-dir-path=""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\Win64\Resources\locales"" --log-severity=warning --resources-dir-path=""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\Win64\Resources"" --user-agent-product=""CEF/128.4.13 Chrome/128.0.6613.138 EOSOverlay/1.3.7.1200 UnrealEngine/EOS-SDK/1.19.4210.0-57262110@Launcher (Windows/10.0.26100.9278.64bit) EGL/20.3.2-58288225+++UE5+Release-Distro-5.5"" --eos-dxgi-luid=80873 --field-trial-handle=2080,i,12379074273930963253,16985363551126987292,262144 --disable-features=SpareRendererForSitePerProcess --variations-seed-version --enable-logging=handle --log-file=2152 --mojo-platform-channel-handle=2004 /prefetch:11","System.Diagnostics.Process (EOSOverlayRenderer-Win64-Shipping)","","37,1875","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3436","8",,"False","21/09/2026 07:13:01",,"36076",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26120","26120","13406208","13406208","750896","750896","16351232","16351232","39321600","39321600","73834663936","820219904","True","Normal","13406208","13406208","4095","1",,"System.Diagnostics.ProcessThreadCollection","470","73746321408","731877376","False",,,,"37584896","37584896",,"System.Diagnostics.ProcessModule (EOSOverlayRenderer-Win64-Shipping.exe)","00:00:17.5156250","00:00:37.1875000","00:00:19.6718750","EOSOverlayRenderer-Win64-Shipping","0","","True",,
"EOSOverlayRenderer-Win64-Shipping","1","572","73864491008","48463872","49905664","27448","C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayRenderer-Win64-Shipping.exe","""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayRenderer-Win64-Shipping.exe"" --type=gpu-process --no-sandbox --use-angle=d3d11 --start-stack-profiler --user-data-dir=""C:\Users\david\AppData\Local\Epic Games\EOSOverlay\BrowserCache\1"" --locales-dir-path=""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\Win64\Resources\locales"" --log-severity=warning --resources-dir-path=""C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\Win64\Resources"" --user-agent-product=""CEF/128.4.13 Chrome/128.0.6613.138 EOSOverlay/1.3.7.1200 UnrealEngine/EOS-SDK/1.19.4210.0-57262110@Launcher (Windows/10.0.26100.9278.64bit) EGL/20.3.2-58288225+++UE5+Release-Distro-5.5"" --eos-dxgi-luid=80873 --gpu-preferences=UAAAAAAAAADgABAMAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --field-trial-handle=2056,i,12379074273930963253,16985363551126987292,262144 --disable-features=SpareRendererForSitePerProcess --variations-seed-version --enable-logging=handle --log-file=2060 --mojo-platform-channel-handle=2032 /prefetch:2","System.Diagnostics.Process (EOSOverlayRenderer-Win64-Shipping)","","147,28125","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5956","10",,"False","21/09/2026 07:13:01",,"42640",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","27448","27448","49905664","49905664","1030744","1030744","52228096","52228096","68554752","68554752","73912725504","898281472","True","AboveNormal","49905664","49905664","4095","1",,"System.Diagnostics.ProcessThreadCollection","572","73864491008","850046976","False",,,,"48463872","48463872",,"System.Diagnostics.ProcessModule (EOSOverlayRenderer-Win64-Shipping.exe)","00:01:22.3906250","00:02:27.2812500","00:01:04.8906250","EOSOverlayRenderer-Win64-Shipping","0","","True",,
"EpicGamesLauncher","1","1312","75128938496","121544704","262045696","199680","C:\Program Files\Epic Games\Launcher\Portal\Binaries\Win64\EpicGamesLauncher.exe","""C:\Program Files\Epic Games\Launcher\Portal\Binaries\Win64\EpicGamesLauncher.exe"" ""C:/Program Files/Epic Games/Launcher/Portal/Binaries/Win64/EpicGamesLauncher.exe""  C:\Program Files\Epic Games\Launcher\Portal\Binaries\Win64\EpicGamesLauncher.exe -silent -launchcontext=boot -AllowSoftwareRendering -SaveToUserDir -Messaging -enablehighdpi -EOSBootstrappedFlag -ForcedRestart",,"Epic Games, Inc.","3052,359375","20.3.2-0+UE5","20.3.2-0+UE5","EpicGamesLauncher","Unreal Engine","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6780","8",,"False","21/09/2026 07:12:59",,"40056",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","199680","199680","262045696","262045696","1362304","1362304","402333696","402333696","269094912","269094912","75395915776","-1913495552","True","Normal","262045696","262045696","4095","1",,"System.Diagnostics.ProcessThreadCollection","1312","75128938496","2114494464","False",,,,"121544704","121544704",,"System.Diagnostics.ProcessModule (EpicGamesLauncher.exe)","00:19:40.3750000","00:50:52.3593750","00:31:11.9843750","EpicGamesLauncher","0","","True",,
"EpicOnlineServicesUserHelper","1","210","5131907072","29171712","62910464","24480","C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesUserHelper.exe","""C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesUserHelper.exe"" C:\snapshot\bundle\index.js --runApplication=crashHandler",,"Node.js","0,390625","27.21.1.0","5.8.0-1506a43+release-5.8.0","Epic Online Services Main Service","Epic Online Services","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6736","8",,"False","21/09/2026 07:12:58",,"23988",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","24480","24480","62910464","62910464","295056","295056","76840960","76840960","63631360","63631360","5173850112","878882816","True","Normal","62910464","62910464","4095","1",,"System.Diagnostics.ProcessThreadCollection","210","5131907072","836939776","False",,,,"29171712","29171712",,"System.Diagnostics.ProcessModule (EpicOnlineServicesUserHelper.exe)","00:00:00.1406250","00:00:00.3906250","00:00:00.2500000","EpicOnlineServicesUserHelper","0","","True",,
"EpicOnlineServicesUserHelper","1","341","5172674560","52756480","87592960","84216","C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesUserHelper.exe","""C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesUserHelper.exe"" C:\snapshot\bundle\index.js --runApplication=mainService","System.Diagnostics.Process (EpicOnlineServicesUserHelper)","Node.js","159,0625","27.21.1.0","5.8.0-1506a43+release-5.8.0","Epic Online Services Main Service","Epic Online Services","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6388","8",,"False","21/09/2026 07:12:58",,"39280",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","84216","84216","87592960","87592960","328024","328024","91516928","91516928","79810560","79810560","5210767360","915800064","True","Normal","87592960","87592960","4095","1",,"System.Diagnostics.ProcessThreadCollection","341","5172674560","877707264","False",,,,"52756480","52756480",,"System.Diagnostics.ProcessModule (EpicOnlineServicesUserHelper.exe)","00:00:41.0937500","00:02:39.0625000","00:01:57.9687500","EpicOnlineServicesUserHelper","0","","True",,
"EpicWebHelper","1","347","74032836608","27901952","31678464","26496","C:\Program Files\Epic Games\Launcher\Engine\Binaries\Win64\EpicWebHelper.exe","""C:/Program Files/Epic Games/Launcher/Engine/Binaries/Win64/EpicWebHelper.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=3044,16972907687665956178,2464825074059654114,131072 --disable-features=CalculateNativeWinOcclusion --lang=fr --service-sandbox-type=none --no-sandbox --locales-dir-path=""C:/Program Files/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources/locales"" --log-file=C:/Users/david/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --log-severity=warning --resources-dir-path=""C:/Program Files/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources"" --user-agent-product=""EpicGamesLauncher/20.3.2-58288225+++UE5+Release-Distro-5.5 UnrealEngine/5.5.4-0+UE5 Chrome/90.0.4430.212"" --lang=fr --log-file=C:/Users/david/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --mojo-platform-channel-handle=4332 /prefetch:8","System.Diagnostics.Process (EpicGamesLauncher)","","5,75","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6672","8",,"False","21/09/2026 07:13:01",,"31524",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26496","26496","31678464","31678464","657296","657296","32247808","32247808","41234432","41234432","74152374272","1137930240","True","Normal","31678464","31678464","4095","1",,"System.Diagnostics.ProcessThreadCollection","347","74032836608","1018392576","False",,,,"27901952","27901952",,"System.Diagnostics.ProcessModule (EpicWebHelper.exe)","00:00:03.5312500","00:00:05.7500000","00:00:02.2187500","EpicWebHelper","0","","True",,
"EpicWebHelper","1","484","74281295872","40579072","46829568","27272","C:\Program Files\Epic Games\Launcher\Engine\Binaries\Win64\EpicWebHelper.exe","""C:/Program Files/Epic Games/Launcher/Engine/Binaries/Win64/EpicWebHelper.exe"" --type=gpu-process --field-trial-handle=3044,16972907687665956178,2464825074059654114,131072 --disable-features=CalculateNativeWinOcclusion --no-sandbox --locales-dir-path=""C:/Program Files/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources/locales"" --log-file=C:/Users/david/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --log-severity=warning --resources-dir-path=""C:/Program Files/Epic Games/Launcher/Engine/Binaries/ThirdParty/CEF3/Win64/Resources"" --user-agent-product=""EpicGamesLauncher/20.3.2-58288225+++UE5+Release-Distro-5.5 UnrealEngine/5.5.4-0+UE5 Chrome/90.0.4430.212"" --lang=fr --gpu-preferences=SAAAAAAAAADgACAwAAAAAAAAAAAAAAAAAABgAAAAAAAoAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB4AAAAAAAAAHgAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAAIAAAAAAAAAAgAAAAAAAAA --log-file=C:/Users/david/AppData/Local/EpicGamesLauncher/Saved/Logs/cef3.log --mojo-platform-channel-handle=3052 /prefetch:2","System.Diagnostics.Process (EpicGamesLauncher)","","4,421875","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7024","10",,"False","21/09/2026 07:13:00",,"35116",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","27272","27272","46829568","46829568","966696","966696","46956544","46956544","57368576","57368576","74377777152","1363333120","True","AboveNormal","46829568","46829568","4095","1",,"System.Diagnostics.ProcessThreadCollection","484","74281295872","1266851840","False",,,,"40579072","40579072",,"System.Diagnostics.ProcessModule (EpicWebHelper.exe)","00:00:02.9062500","00:00:04.4218750","00:00:01.5156250","EpicWebHelper","0","","True",,
"esif_uf","0","112","2203391643648","6381568","1789952","8368",,,,,,,,,,"Process",,,"13",,,,,"5388",".",,,,"8368","8368","1789952","1789952","73168","73168","1888256","1888256","7921664","7921664","2203396927488","78704640",,,"1789952","1789952",,"0",,"System.Diagnostics.ProcessThreadCollection","112","2203391643648","73420800","False",,,,"6381568","6381568",,,,,,"esif_uf","0","","True",,
"esrv","1","914","2203703803904","39559168","175710208","31824","C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv.exe","""C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv.exe"" ""--start"" ""--start_options_handle"" ""1160""",,"","89,25","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2504","13",,"False","23/09/2026 08:29:24",,"30120",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31824","31824","175710208","175710208","315928","315928","187011072","187011072","160309248","160309248","2203716448256","398225408","True","High","175710208","175710208","4095","1",,"System.Diagnostics.ProcessThreadCollection","914","2203703803904","385581056","False",,,,"39559168","39559168",,"System.Diagnostics.ProcessModule (esrv.exe)","00:01:11.6718750","00:01:29.2500000","00:00:17.5781250","esrv","0","","True",,
"esrv_svc","0","1788","2203834507264","74887168","298692608","47976",,,,,,,,,,"Process",,,"13",,,,,"37312",".",,,,"47976","47976","298692608","298692608","295360","295360","308027392","308027392","235716608","235716608","2204053323776","735100928",,,"298692608","298692608",,"0",,"System.Diagnostics.ProcessThreadCollection","1788","2203834507264","516284416","False",,,,"74887168","74887168",,,,,,"esrv_svc","0","","True",,
"EvtEng","0","348","4438781952","16338944","6115328","18704",,,,,,,,,,"Process",,,"8",,,,,"5428",".",,,,"18704","18704","6115328","6115328","193232","193232","6184960","6184960","20295680","20295680","4446162944","151195648",,,"6115328","6115328",,"0",,"System.Diagnostics.ProcessThreadCollection","348","4438781952","143814656","False",,,,"16338944","16338944",,,,,,"EvtEng","0","","True",,
"explorer","1","8233","2205238976512","388874240","503832576","180648","C:\WINDOWS\Explorer.EXE","C:\WINDOWS\Explorer.EXE",,"Microsoft Corporation","4740,6875","10.0.26100.8875 (WinBuild.160101.0800)","10.0.26100.8875","Explorateur Windows","Système d&apos;exploitation Microsoft® Windows®","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5172","8",,"False","18/09/2026 08:37:59",,"12616",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","180648","180648","503832576","503832576","2890320","2890320","578207744","578207744","487600128","487600128","2205446402048","2128179200","True","Normal","503832576","503832576","4095","1",,"System.Diagnostics.ProcessThreadCollection","8233","2205238976512","1920753664","False",,,,"388874240","388874240",,"System.Diagnostics.ProcessModule (Explorer.EXE)","00:53:43.9531250","01:19:00.6875000","00:25:16.7343750","explorer","788652","","True",,
"FileCoAuth","1","291","2203507331072","38080512","19587072","19864","C:\Program Files\Microsoft OneDrive\26.163.0823.0004\FileCoAuth.exe","""C:\Program Files\Microsoft OneDrive\26.163.0823.0004\FileCoAuth.exe"" -Embedding",,"Microsoft Corporation","51,875","26.163.0823.0004","26.163.0823.0004","Microsoft OneDriveFile Co-Authoring Executable","Microsoft OneDrive","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6164","8",,"False","21/09/2026 11:06:20",,"33728",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19864","19864","19587072","19587072","273504","273504","19623936","19623936","38191104","38191104","2203509551104","191328256","True","Normal","19587072","19587072","4095","1",,"System.Diagnostics.ProcessThreadCollection","291","2203507331072","189108224","False",,,,"38080512","38080512",,"System.Diagnostics.ProcessModule (FileCoAuth.exe)","00:00:35.0312500","00:00:51.8750000","00:00:16.8437500","FileCoAuth","0","","True",,
"FileSyncHelper","0","506","2203468800000","29343744","8216576","20016",,,,,,,,,,"Process",,,"8",,,,,"26132",".",,,,"20016","20016","8216576","8216576","219208","219208","9519104","9519104","34271232","34271232","2203474640896","156418048",,,"8216576","8216576",,"0",,"System.Diagnostics.ProcessThreadCollection","506","2203468800000","150577152","False",,,,"29343744","29343744",,,,,,"FileSyncHelper","0","","True",,
"firefox","1","340","2206191816704","85659648","96088064","36728","C:\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc -isForBrowser -prefsHandle 45748:58066 -prefMapHandle 44372:330281 -jsInitHandle 46568:162620 -parentBuildID 20260909172920 -ipcHandle 35924 -initialChannelId {524d7e00-43d6-4ab0-9cd3-10f14bcc6370} -parentPid 20564 -crashHelperPid 0 -crashHelper 45160 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.20564"" -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 362 tab","System.Diagnostics.Process (firefox)","Mozilla Corporation","12,5","156.0","156.0","Firefox","Firefox","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3624","4",,"False","23/09/2026 11:40:18",,"7712",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","36728","36728","96088064","96088064","948528","948528","158277632","158277632","203816960","203816960","2240512409600","-1460518912","True","Idle","96088064","96088064","4095","1",,"System.Diagnostics.ProcessThreadCollection","340","2206191816704","-1421373440","False",,,,"85659648","85659648",,"System.Diagnostics.ProcessModule (firefox.exe)","00:00:04.2656250","00:00:12.5000000","00:00:08.2343750","firefox","0","","True",,
"firefox","1","316","2206122881024","77922304","42737664","28144","C:\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc -isForBrowser -prefsHandle 32188:58031 -prefMapHandle 36844:330281 -jsInitHandle 36028:162620 -parentBuildID 20260909172920 -ipcHandle 34868 -initialChannelId {fc261388-0326-43ac-9cb6-89a60b78b00b} -parentPid 20564 -crashHelperPid 0 -crashHelper 36808 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.20564"" -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 259 tab","System.Diagnostics.Process (firefox)","Mozilla Corporation","34,3125","156.0","156.0","Firefox","Firefox","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3332","4",,"False","22/09/2026 11:45:04",,"10972",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","28144","28144","42737664","42737664","881024","881024","73007104","73007104","102596608","102596608","2223296053248","-1497006080","True","Idle","42737664","42737664","4095","1",,"System.Diagnostics.ProcessThreadCollection","316","2206122881024","-1490309120","False",,,,"77922304","77922304",,"System.Diagnostics.ProcessModule (firefox.exe)","00:00:14.4531250","00:00:34.3125000","00:00:19.8593750","firefox","0","","True",,
"firefox","1","319","2206316797952","119484416","240205824","53032","C:\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc -isForBrowser -prefsHandle 19764:57895 -prefMapHandle 20348:330281 -jsInitHandle 18984:162620 -parentBuildID 20260909172920 -ipcHandle 20376 -initialChannelId {da74aa7d-10a1-4373-8de3-824dba030722} -parentPid 20564 -crashHelperPid 0 -crashHelper 19884 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.20564"" -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 119 tab","System.Diagnostics.Process (firefox)","Mozilla Corporation","113,34375","156.0","156.0","Firefox","Firefox","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6160","4",,"False","18/09/2026 15:25:58",,"11216",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","53032","53032","240205824","240205824","811416","811416","283189248","283189248","324960256","324960256","2223507193856","-1285865472","True","Idle","240205824","240205824","4095","1",,"System.Diagnostics.ProcessThreadCollection","319","2206316797952","-1296392192","False",,,,"119484416","119484416",,"System.Diagnostics.ProcessModule (firefox.exe)","00:00:37.0625000","00:01:53.3437500","00:01:16.2812500","firefox","0","","True",,
"firefox","1","321","2206192291840","75382784","48369664","37392","C:\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc -isForBrowser -prefsHandle 26072:58031 -prefMapHandle 19612:330281 -jsInitHandle 25812:162620 -parentBuildID 20260909172920 -ipcHandle 15748 -initialChannelId {5188dd63-f487-4094-b421-0f1b9c938f3d} -parentPid 20564 -crashHelperPid 0 -crashHelper 24624 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.20564"" -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 174 tab","System.Diagnostics.Process (firefox)","Mozilla Corporation","74,578125","156.0","156.0","Firefox","Firefox","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6652","4",,"False","21/09/2026 10:51:27",,"12572",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","37392","37392","48369664","48369664","836528","836528","174956544","174956544","205828096","205828096","2223431110656","-1361948672","True","Idle","48369664","48369664","4095","1",,"System.Diagnostics.ProcessThreadCollection","321","2206192291840","-1420898304","False",,,,"75382784","75382784",,"System.Diagnostics.ProcessModule (firefox.exe)","00:00:26.8125000","00:01:14.5781250","00:00:47.7656250","firefox","0","","True",,
"firefox","1","259","2203752431616","17985536","8241152","15288","C:\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc -parentBuildID 20260909172920 -sandboxingKind 1 -prefsHandle 8156:73101 -prefMapHandle 8160:330281 -ipcHandle 7740 -initialChannelId {faf25d74-c37e-4860-a0d9-04ad4772a2ee} -parentPid 20564 -crashHelperPid 0 -crashHelper 6404 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.20564"" -win32kLockedDown -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 13 utility","System.Diagnostics.Process (firefox)","Mozilla Corporation","117,859375","156.0","156.0","Firefox","Firefox","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5592","8",,"False","18/09/2026 08:41:45",,"12672",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15288","15288","8241152","8241152","494576","494576","11907072","11907072","23437312","23437312","2203777597440","459374592","True","Normal","8241152","8241152","4095","1",,"System.Diagnostics.ProcessThreadCollection","259","2203752431616","434208768","False",,,,"17985536","17985536",,"System.Diagnostics.ProcessModule (firefox.exe)","00:00:44.9375000","00:01:57.8593750","00:01:12.9218750","firefox","0","","True",,
"firefox","1","362","2203788955648","22437888","8712192","17328","C:\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc -parentBuildID 20260909172920 -sandboxingKind 2 -prefsHandle 8320:73154 -prefMapHandle 8324:330281 -ipcHandle 8204 -initialChannelId {3596cc32-794a-4b13-b86f-654bcd19777c} -parentPid 20564 -crashHelperPid 0 -crashHelper 8332 -crashReporter ""\\.\pipe\gecko-crash-server-pipe.20564"" -appDir ""C:\Program Files\Mozilla Firefox\browser"" - 16 utility","System.Diagnostics.Process (firefox)","Mozilla Corporation","1,65625","156.0","156.0","Firefox","Firefox","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6316","8",,"False","18/09/2026 08:48:11",,"17020",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17328","17328","8712192","8712192","589440","589440","9289728","9289728","27062272","27062272","2203830304768","512081920","True","Normal","8712192","8712192","4095","1",,"System.Diagnostics.ProcessThreadCollection","362","2203788955648","470732800","False",,,,"22437888","22437888",,"System.Diagnostics.ProcessModule (firefox.exe)","00:00:00.6718750","00:00:01.6562500","00:00:00.9843750","firefox","0","","True",,
